timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616737140283,2,https://radar2.eu-west.philips-healthsuite.com/GlobalStatsData.do,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/GlobalStatsData.do,0,0,2
1616737140287,3,https://radar2.eu-west.philips-healthsuite.com/Script/App/dashboard-resize.js?_=1616683679288,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Script/App/dashboard-resize.js?_=1616683679288,0,0,3
1616737140292,2,https://radar2.eu-west.philips-healthsuite.com/getMaxTabsOpened.do,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/getMaxTabsOpened.do,0,0,2
1616737140296,3,https://radar2.eu-west.philips-healthsuite.com/DashboardData.do?version=1616683680380,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/DashboardData.do?version=1616683680380,0,0,3
1616737140301,2,https://radar2.eu-west.philips-healthsuite.com/LocationDataFromDB.do,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/LocationDataFromDB.do,0,0,2
1616736002537,1137702,RMW_Launch,,"Number of samples in transaction : 15, number of failing samples : 15",Thread Group 1-1,,false,,42928,0,1,1,null,0,36,1137700
1616737140306,2,https://radar2.eu-west.philips-healthsuite.com/Pages/SystemOverview/systemOverview.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/SystemOverview/systemOverview.html,0,0,1
1616737140310,2,https://radar2.eu-west.philips-healthsuite.com/shared/components/system-details-header/views/system-details-header.component.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/shared/components/system-details-header/views/system-details-header.component.html,0,0,2
1616737140316,2,https://radar2.eu-west.philips-healthsuite.com/actionhistory/103287.do,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/actionhistory/103287.do,0,0,2
1616737140319,2,https://radar2.eu-west.philips-healthsuite.com/SystemOverview/103287.do?version=1616683702826,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/SystemOverview/103287.do?version=1616683702826,0,0,1
1616737140322,2,https://radar2.eu-west.philips-healthsuite.com/SystemDetailsDropdownData.do?stateLoc=RMW,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/SystemDetailsDropdownData.do?stateLoc=RMW,0,0,2
1616737140326,1,https://radar2.eu-west.philips-healthsuite.com/notification/info?t=1616683702892,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/notification/info?t=1616683702892,0,0,1
1616737140329,2,https://radar2.eu-west.philips-healthsuite.com/fetchBlueBannerDetails.do?systemUID=103287,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/fetchBlueBannerDetails.do?systemUID=103287,0,0,2
1616737140333,4,https://radar2.eu-west.philips-healthsuite.com/systemlock/103287/true/vinayak.naik.do,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/systemlock/103287/true/vinayak.naik.do,0,0,4
1616737140338,1,https://radar2.eu-west.philips-healthsuite.com/GetSystemFlag.do?systemUID=103287,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/GetSystemFlag.do?systemUID=103287,0,0,1
1616737140356,14,https://radar2.eu-west.philips-healthsuite.com/Pages/SystemOverview/systemOverviewPartial.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/SystemOverview/systemOverviewPartial.html,0,0,14
1616737140372,1,https://radar2.eu-west.philips-healthsuite.com/notification/096/kl5d3urn/xhr_streaming?t=1616683703679,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/notification/096/kl5d3urn/xhr_streaming,0,0,1
